p1     8.95E+00 1.02E+01 1.01E+01 1.03E+01
d2     1.84E-13 2.01E-13 2.89E-13 3.88E-14
he3    1.75E-04 1.85E-04 1.84E-04 1.80E-04
he4    7.03E+00 8.49E+00 7.93E+00 8.12E+00
li6    6.12E-16 6.65E-16 9.58E-16 1.28E-16
li7    4.31E-13 1.02E-13 8.01E-13 4.62E-12
be9    6.27E-16 3.93E-16 1.88E-16 9.48E-18
b10    2.91E-11 3.09E-11 3.04E-11 6.57E-12
b11    2.79E-09 1.39E-10 1.37E-10 2.83E-11
c12    8.32E-02 1.28E-01 1.36E-01 3.73E-01
c13    2.91E-04 3.83E-04 3.39E-04 3.68E-04
n14    1.84E-02 3.15E-02 2.00E-02 2.52E-02
n15    2.74E-05 9.45E-05 5.59E-06 1.35E-05
o16    7.88E-01 2.07E+00 3.82E+00 6.80E+00
o17    1.03E-04 1.12E-04 1.20E-04 1.57E-04
o18    6.68E-04 7.80E-04 4.38E-05 6.51E-04
f19    4.87E-06 8.48E-05 5.57E-06 8.50E-06
ne20   1.42E-01 6.35E-01 4.92E-01 1.15E+00
ne21   3.12E-04 3.57E-04 4.13E-04 8.62E-04
ne22   1.42E-03 4.54E-03 3.00E-03 7.99E-04
na23   2.05E-03 4.68E-03 6.56E-03 1.32E-02
mg24   8.10E-02 2.27E-01 1.91E-01 4.01E-01
mg25   1.64E-03 4.77E-03 4.94E-03 9.65E-03
mg26   1.69E-03 5.26E-03 5.62E-03 1.01E-02
al26   5.94E-06 7.44E-06 1.55E-05 3.07E-05
al27   3.64E-03 1.04E-02 1.18E-02 2.29E-02
si28   1.04E-01 1.22E-01 3.56E-01 5.74E-01
si29   1.78E-03 2.27E-03 4.86E-03 6.63E-03
si30   1.99E-03 2.32E-03 4.82E-03 7.37E-03
p31    4.68E-04 5.29E-04 1.35E-03 2.00E-03
s32    3.30E-02 4.02E-02 1.54E-01 2.30E-01
s33    2.93E-04 3.05E-04 1.05E-03 1.52E-03
s34    1.39E-03 1.25E-03 4.79E-03 7.22E-03
s36    5.15E-06 2.31E-06 8.74E-06 1.23E-05
cl35   7.46E-05 8.11E-05 2.90E-04 4.16E-04
cl37   2.39E-05 3.41E-05 1.06E-04 1.58E-04
ar36   4.40E-03 6.02E-03 2.28E-02 3.40E-02
ar38   4.28E-04 3.78E-04 1.78E-03 2.48E-03
ar40   1.46E-06 3.81E-07 2.87E-06 1.93E-06
k39    4.32E-05 4.15E-05 1.72E-04 2.15E-04
k40    2.25E-08 3.29E-08 8.55E-08 1.08E-07
k41    4.38E-06 4.66E-06 1.90E-05 2.32E-05
ca40   3.06E-03 4.69E-03 1.67E-02 2.55E-02
ca42   1.09E-05 9.19E-06 4.44E-05 5.81E-05
ca43   1.09E-06 9.55E-07 1.12E-06 2.18E-06
ca44   2.86E-05 1.06E-04 1.12E-04 2.26E-04
ca46   2.35E-07 1.43E-07 6.94E-07 4.28E-07
ca48   1.07E-06 6.03E-07 9.78E-07 1.36E-06
sc45   6.08E-07 6.12E-07 1.52E-06 1.79E-06
ti46   4.52E-06 7.87E-06 1.99E-05 2.55E-05
ti47   1.57E-06 8.80E-06 1.22E-05 1.24E-05
ti48   4.89E-05 1.59E-04 2.30E-04 4.30E-04
ti49   1.49E-06 4.46E-06 6.49E-06 1.16E-05
ti50   8.29E-07 1.96E-06 2.54E-06 4.85E-06
v50    1.02E-08 2.02E-08 4.10E-08 7.58E-08
v51    3.17E-06 2.26E-05 2.18E-05 2.74E-05
cr50   1.49E-05 2.05E-05 5.69E-05 8.03E-05
cr52   2.69E-04 8.48E-04 1.71E-03 3.28E-03
cr53   2.14E-05 5.36E-05 1.06E-04 1.99E-04
cr54   2.34E-06 5.15E-06 5.76E-06 9.29E-06
mn55   9.05E-05 1.67E-04 3.26E-04 5.81E-04
fe54   8.16E-04 1.17E-03 3.00E-03 4.97E-03
fe56   3.11E-02 8.32E-02 1.53E-01 2.73E-01
fe57   9.93E-04 1.93E-03 3.31E-03 6.26E-03
fe58   5.48E-05 1.62E-04 1.77E-04 2.84E-04
co59   4.90E-05 3.67E-04 3.31E-04 4.47E-04
ni58   3.00E-04 9.15E-04 9.42E-04 1.51E-03
ni60   1.01E-03 2.97E-03 4.92E-03 8.28E-03
ni61   1.50E-04 9.23E-05 2.93E-04 3.60E-04
ni62   1.23E-04 1.72E-04 2.78E-04 6.21E-04
ni64   1.66E-05 8.07E-05 1.10E-04 2.66E-04
cu63   8.84E-06 4.23E-05 4.77E-05 9.13E-05
cu65   7.52E-06 2.84E-05 4.86E-05 1.12E-04
zn64   3.63E-05 3.19E-04 3.56E-04 5.84E-04
zn66   2.10E-05 4.85E-05 1.08E-04 2.13E-04
zn67   1.45E-06 7.12E-06 1.14E-05 2.81E-05
zn68   7.86E-06 3.70E-05 7.55E-05 1.84E-04
zn70   2.39E-07 1.97E-07 1.33E-06 2.98E-06
ga69   1.36E-06 5.39E-06 1.49E-05 3.43E-05
ga71   1.10E-06 3.95E-06 9.36E-06 2.16E-05

