p1     8.77E+00 1.06E+01 1.17E+01 1.40E+01
d2     8.66E-17 2.06E-16 1.09E-14 1.66E-14
he3    4.76E-05 2.11E-04 2.06E-04 2.56E-05
he4    5.96E+00 8.03E+00 9.54E+00 1.18E+01
li6    1.53E-22 3.22E-20 3.50E-17 5.39E-17
li7    2.79E-10 5.68E-09 2.36E-08 3.42E-11
be9    4.83E-20 3.69E-17 3.09E-18 9.03E-18
b10    1.95E-19 7.45E-14 1.05E-14 9.41E-15
b11    1.09E-15 1.28E-12 9.53E-14 9.41E-13
c12    1.90E-01 2.67E-01 3.16E-01 3.72E-01
c13    1.18E-08 6.94E-08 6.32E-08 8.18E-08
n14    5.42E-05 5.96E-04 4.18E-05 3.39E-06
n15    2.95E-08 1.75E-07 2.20E-07 6.54E-07
o16    2.03E+00 2.38E+00 3.92E+00 6.32E+00
o17    7.13E-08 1.49E-06 3.81E-08 1.23E-08
o18    2.33E-08 3.87E-07 5.03E-07 2.93E-07
f19    2.12E-09 1.67E-09 7.88E-09 1.17E-07
ne20   7.49E-01 2.85E-01 5.20E-01 2.64E-01
ne21   3.58E-05 1.22E-05 3.51E-05 1.41E-05
ne22   5.51E-05 8.62E-06 3.52E-05 1.66E-05
na23   2.31E-03 4.42E-04 7.36E-04 3.28E-04
mg24   1.65E-01 1.53E-01 2.17E-01 3.37E-01
mg25   1.07E-04 4.57E-05 1.45E-04 5.95E-04
mg26   2.09E-04 3.89E-05 8.00E-05 6.90E-05
al26   1.02E-06 1.28E-06 2.92E-06 3.80E-05
al27   1.50E-03 8.93E-04 1.55E-03 7.52E-03
si28   1.03E-01 2.31E-01 2.47E-01 7.20E-01
si29   2.95E-04 5.38E-04 8.85E-04 3.72E-03
si30   1.13E-04 6.35E-05 1.47E-04 2.82E-03
p31    7.67E-05 5.91E-05 1.16E-04 1.01E-03
s32    4.27E-02 9.16E-02 8.49E-02 2.59E-01
s33    1.44E-04 2.31E-04 3.02E-04 8.45E-04
s34    1.84E-04 1.26E-04 2.70E-04 2.08E-03
s36    8.33E-10 5.78E-11 1.41E-09 5.04E-08
cl35   3.95E-05 3.23E-05 4.48E-05 1.80E-04
cl37   1.88E-05 2.89E-05 2.39E-05 7.95E-05
ar36   6.80E-03 1.36E-02 1.15E-02 3.55E-02
ar38   1.27E-04 1.70E-04 9.07E-05 7.83E-04
ar40   3.79E-11 1.16E-11 1.87E-11 2.68E-10
k39    2.31E-05 3.76E-05 2.05E-05 1.31E-04
k40    4.40E-09 1.40E-09 2.52E-09 1.18E-08
k41    3.72E-06 6.48E-06 3.66E-06 2.13E-05
ca40   4.77E-03 1.02E-02 8.22E-03 2.86E-02
ca42   3.41E-06 5.15E-06 1.62E-06 1.97E-05
ca43   2.60E-07 7.25E-08 1.71E-07 1.39E-07
ca44   1.26E-04 7.04E-05 1.82E-04 1.75E-04
ca46   1.15E-11 1.47E-11 9.25E-12 3.69E-11
ca48   3.74E-15 1.17E-11 8.16E-13 1.27E-11
sc45   1.85E-07 2.20E-07 6.95E-08 6.28E-07
ti46   6.54E-06 5.22E-06 6.23E-06 1.11E-05
ti47   9.65E-06 9.45E-06 2.08E-05 2.59E-05
ti48   1.57E-04 1.35E-04 2.81E-04 3.43E-04
ti49   2.75E-06 3.62E-06 5.70E-06 6.92E-06
ti50   7.64E-13 6.12E-12 2.49E-12 3.37E-11
v50    2.62E-11 2.79E-11 9.03E-12 1.20E-10
v51    2.42E-05 1.86E-05 3.71E-05 3.48E-05
cr50   1.68E-05 2.56E-05 1.90E-05 4.12E-05
cr52   6.58E-04 1.21E-03 1.51E-03 2.70E-03
cr53   3.33E-05 7.24E-05 9.03E-05 1.31E-04
cr54   2.61E-09 5.72E-09 9.64E-11 3.52E-09
mn55   8.22E-05 2.02E-04 2.47E-04 3.68E-04
fe54   7.18E-04 1.79E-03 1.74E-03 3.30E-03
fe56   8.24E-02 9.60E-02 1.59E-01 2.56E-01
fe57   1.78E-03 1.63E-03 3.10E-03 4.24E-03
fe58   1.28E-09 2.60E-09 9.19E-11 3.31E-09
co59   3.69E-04 2.38E-04 5.19E-04 5.19E-04
ni58   8.75E-04 6.72E-04 1.27E-03 1.43E-03
ni60   2.99E-03 2.80E-03 5.49E-03 8.37E-03
ni61   6.29E-05 4.34E-05 8.63E-05 9.87E-05
ni62   4.19E-05 2.86E-05 5.74E-05 6.74E-05
ni64   9.54E-14 1.56E-11 3.38E-12 2.46E-11
cu63   1.18E-05 8.19E-06 1.71E-05 2.06E-05
cu65   7.24E-07 6.00E-07 1.38E-06 1.86E-06
zn64   3.80E-04 2.64E-04 5.83E-04 6.88E-04
zn66   5.06E-06 2.59E-06 7.05E-06 6.90E-06
zn67   1.95E-07 6.07E-08 1.91E-07 1.18E-07
zn68   8.96E-08 1.21E-07 2.69E-07 4.86E-07
zn70   8.31E-14 1.95E-12 8.49E-13 1.95E-11
ga69   1.77E-08 2.11E-08 4.08E-08 8.95E-08
ga71   1.54E-12 2.17E-11 3.79E-12 1.57E-10

