1.5 2.08667e-06
2 1.23500e-05
2.5 5.69200e-05
3 3.85900e-06
3.5 2.19429e-06
4 -3.63175e-06
4.5 -1.26644e-05
5 -1.81320e-05
6 -1.53167e-05
6.5 -1.21538e-05
7 -6.55714e-06
